"","X","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"255",255,"JOHN MILLAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"256",256,"JON DEL CAMPO",43,10,15,2,1,1,8,4,9,0,1,0,2
"257",257,"JONATHAN ACEVES",42,5,11,5,0,1,4,6,12,1,0,0,0
"258",258,"JONATHAN ARMENTA",6,0,1,0,0,0,2,0,3,0,0,1,0
"259",259,"JONATHAN CASTELLANOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"260",260,"JONATHAN FRUTOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"261",261,"JONATHAN JONES",50,6,17,4,1,2,7,3,10,0,2,0,1
"262",262,"JONATHAN PARTIDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"263",263,"JORDAN ABOITES",0,0,0,0,0,0,0,0,0,0,0,0,0
"264",264,"JORGE CANTU",39,7,10,3,0,1,9,5,4,0,0,3,0
"265",265,"JORGE FLORES",47,15,18,1,1,1,5,6,6,1,4,0,0
"266",266,"JORGE GONZALEZ",4,0,0,0,0,0,0,0,2,0,0,0,0
"267",267,"JORGE IBARRA",0,0,0,0,0,0,0,0,0,0,0,0,0
"268",268,"JORGE REYES",0,0,0,0,0,0,0,0,0,0,0,0,0
"269",269,"JORGE RIVERA",0,0,0,0,0,0,0,0,0,0,0,0,0
"270",270,"JOSE AGUILAR",27,4,7,1,0,1,7,3,6,1,1,1,1
"271",271,"JOSE AMADOR",51,5,20,2,0,3,11,6,8,2,0,0,0
"272",272,"JOSE ASCANIO",0,0,0,0,0,0,0,0,0,0,0,0,0
"273",273,"JOSE AUGUSTO FIGUEROA",29,1,9,1,0,0,4,5,5,0,0,1,0
"274",274,"JOSE BARAJAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"275",275,"JOSE CARLOS MEDINA",0,0,0,0,0,0,0,0,0,0,0,0,0
"276",276,"JOSE CARLOS URENA",18,3,5,1,0,0,4,6,2,1,1,0,0
"277",277,"JOSE CRUZ",1,1,0,0,0,0,0,0,1,0,0,0,0
"278",278,"JOSE FRUTOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"279",279,"JOSE HEBERTO FELIX",13,2,4,1,0,0,4,3,0,0,0,0,1
"280",280,"JOSE ISIDRO MARQUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"281",281,"JOSE LOPEZ CRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"282",282,"JOSE LUGO",3,0,0,0,0,0,0,0,1,0,0,0,0
"283",283,"JOSE LUNA",5,0,0,0,0,0,0,0,1,0,0,0,0
"284",284,"JOSE MANUEL LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"285",285,"JOSE MANUEL OROZCO",50,6,12,1,0,2,6,4,13,1,0,0,0
"286",286,"JOSE MARRUJO",0,0,0,0,0,0,0,0,0,0,0,0,0
"287",287,"JOSE MARTINEZ",37,2,10,1,0,0,4,1,11,2,0,0,1
"288",288,"JOSE MERAZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"289",289,"JOSE MORENO",1,0,0,0,0,0,0,0,0,0,0,0,0
"290",290,"JOSE PINA",0,0,0,0,0,0,0,0,0,0,0,0,0
"291",291,"JOSE RUIZ",51,3,13,4,0,0,6,5,12,0,0,0,0
"292",292,"JOSE SAMAYOA",0,0,0,0,0,0,0,0,0,0,0,0,0
"293",293,"JOSE VARGAS",41,7,14,0,0,5,8,3,7,1,2,0,0
"294",294,"JOSH JUDY",0,0,0,0,0,0,0,0,0,0,0,0,0
"295",295,"JOSH LOWEY",0,0,0,0,0,0,0,0,0,0,0,0,0
"296",296,"JOSH LUEKE",0,0,0,0,0,0,0,0,0,0,0,0,0
"297",297,"JOSH RODRIGUEZ",17,0,3,1,0,0,1,1,5,0,0,0,0
"298",298,"JOSH ROMANSKI",42,10,8,3,0,1,1,11,9,0,0,0,0
"299",299,"JOVAN ROSA",50,5,15,2,0,1,9,1,9,2,0,1,0
"300",300,"JOVANY LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"301",301,"JUAN APODACA",33,3,8,0,0,3,8,3,5,1,0,0,0
"302",302,"JUAN CARLOS GAMBOA",22,1,4,2,0,0,4,6,6,0,0,0,0
"303",303,"JUAN CARLOS GARCIA",2,0,0,0,0,0,0,0,1,0,0,0,0
"304",304,"JUAN GRULLON",0,0,0,0,0,0,0,0,0,0,0,0,0
"305",305,"JUAN MACIAS",9,4,1,0,0,0,0,0,5,0,0,0,0
"306",306,"JUAN MARTINEZ",47,9,13,2,1,0,1,6,9,1,0,0,0
"307",307,"JUAN OMAR ESPINOZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"308",308,"JUAN PABLO ORAMAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"309",309,"JUAN RAMON NORIEGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"310",310,"JUAN RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"311",311,"JUAN SANDOVAL",0,0,0,0,0,0,0,0,0,0,0,0,0
"312",312,"JUAN TORRES",35,1,8,1,0,0,1,3,4,2,0,0,0
"313",313,"JULIAN ARBALLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"314",314,"JULIAN ORNELAS",16,5,3,1,0,1,5,2,4,0,1,0,0
"315",315,"JULIO FELIX",0,0,0,0,0,0,0,0,0,0,0,0,0
"316",316,"JUSTIN GREENE",56,9,13,1,0,2,4,4,8,2,8,0,0
"317",317,"KELVIN MARTE",0,0,0,0,0,0,0,0,0,0,0,0,0
"318",318,"KEVIN FLORES",13,4,6,1,0,0,1,0,4,0,0,0,0
"319",319,"KRISTIAN DELGADO",36,3,11,4,1,0,2,2,6,1,1,0,1
"320",320,"KYLE DRABEK",0,0,0,0,0,0,0,0,0,0,0,0,0
"321",321,"KYLE LOBSTEIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"322",322,"LEANDRO CASTRO",29,3,7,1,1,1,5,1,9,0,0,0,0
"323",323,"LENIX OSUNA",0,0,0,0,0,0,0,0,0,0,0,0,0
"324",324,"LEO GERMAN",31,4,9,2,0,0,2,1,7,2,4,0,1
"325",325,"LEO HERAS",34,4,11,2,1,0,5,7,5,0,0,0,2
"326",326,"LEURIS GOMEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"327",327,"LINDER CASTRO",0,0,0,0,0,0,0,0,0,0,0,0,0
"328",328,"LOIGER PADRON",0,0,0,0,0,0,0,0,0,0,0,0,0
"329",329,"LUIS ALFONSO CRUZ",16,2,4,0,1,2,6,0,3,0,0,1,0
"330",330,"LUIS ALFONSO GARCIA",36,6,10,1,0,1,6,5,5,1,0,0,0
"331",331,"LUIS ANGEL DANIEL",0,0,0,0,0,0,0,0,0,0,0,0,0
"332",332,"LUIS AYALA",0,0,0,0,0,0,0,0,0,0,0,0,0
"333",333,"LUIS DE LA O",0,0,0,0,0,0,0,0,0,0,0,0,0
"334",334,"LUIS DE LUNA",0,0,0,0,0,0,0,0,0,0,0,0,0
"335",335,"LUIS FONSECA",22,1,3,1,0,0,0,1,8,0,0,0,0
"336",336,"LUIS IVAN RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"337",337,"LUIS JUAREZ",56,8,22,4,0,1,9,1,4,0,0,1,0
"338",338,"LUIS MAURICIO SUAREZ",42,6,12,3,1,1,6,7,9,0,0,1,0
"339",339,"LUIS MEDINA",2,1,1,1,0,0,0,0,0,0,1,0,0
"340",340,"LUIS MENDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"341",341,"LUIS NIEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0
"342",342,"LUIS PAYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"343",343,"LUIS PEREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"344",344,"MAIKEL CLETO",0,0,0,0,0,0,0,0,0,0,0,0,0
"345",345,"MANNY ACOSTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"346",346,"MANNY BARREDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"347",347,"MANNY RODRIGUEZ",56,10,19,5,0,1,14,2,7,0,0,0,0
"348",348,"MANUEL AL FLORES",0,0,0,0,0,0,0,0,0,0,0,0,0
"349",349,"MANUEL BAEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"350",350,"MANUEL ORDUNO",4,0,1,0,0,0,1,1,2,0,0,1,0
"351",351,"MANUEL VALDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"352",352,"MARCO ANTONIO DUARTE",0,0,0,0,0,0,0,0,0,0,0,0,0
"353",353,"MARCO CAMARENA",0,0,0,0,0,0,0,0,0,0,0,0,0
"354",354,"MARCO CARRILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"355",355,"MARCO CHICUATE",4,1,2,0,0,0,0,0,1,0,0,0,0
"356",356,"MARCO GUZMAN",12,2,3,0,0,1,5,0,2,0,0,0,1
"357",357,"MARCO LOPEZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"358",358,"MARCO MENDIVIL",0,0,0,0,0,0,0,0,0,0,0,0,0
"359",359,"MARCO QUEVEDO",0,0,0,0,0,0,0,0,0,0,0,0,0
"360",360,"MARCO RAMIREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"361",361,"MARCO TOVAR",0,0,0,0,0,0,0,0,0,0,0,0,0
"362",362,"MARCOS MACHADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"363",363,"MARCOS RIVAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"364",364,"MARIO GONZALEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"365",365,"MARIO MORALES",0,0,0,0,0,0,0,0,0,0,0,0,0
"366",366,"MARK SERRANO",0,0,0,0,0,0,0,0,0,0,0,0,0
"367",367,"MARK SIMON",0,0,0,0,0,0,0,0,0,0,0,0,0
"368",368,"MARLON ARIAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"369",369,"MARTIN SOTELO",0,0,0,0,0,0,0,0,0,0,0,0,0
"370",370,"MATT CLARK",40,5,10,2,0,2,4,7,11,0,0,1,0
"371",371,"MAURICIO LARA",0,0,0,0,0,0,0,0,0,0,0,0,0
"372",372,"MAXWELL LEON",25,4,11,4,0,0,1,8,4,0,3,0,0
"373",373,"MICHAEL CROUSE",41,8,9,1,0,3,7,4,15,1,0,0,0
"374",374,"MICHAEL WING",43,5,14,4,0,1,13,5,10,0,0,1,0
"375",375,"MICHAELANGELO GUZMAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"376",376,"MIGUEL MEJIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"377",377,"MIGUEL PENA",0,0,0,0,0,0,0,0,0,0,0,0,0
"378",378,"MIGUEL TORRERO",29,4,9,1,1,1,9,1,0,1,0,1,0
"379",379,"MITCH LAMBSON",0,0,0,0,0,0,0,0,0,0,0,0,0
"380",380,"MOISES GUTIERREZ",5,1,1,0,0,0,1,0,0,0,0,0,0
"381",381,"NATHANAEL SANTIAGO",0,0,0,0,0,0,0,0,0,0,0,0,0
"382",382,"NESTOR MOLINA",0,0,0,0,0,0,0,0,0,0,0,0,0
"383",383,"NICK STRUCK",0,0,0,0,0,0,0,0,0,0,0,0,0
"384",384,"NICOLAS HEREDIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"385",385,"NIKO VASQUEZ",49,11,18,6,0,4,14,7,10,3,0,0,0
"386",386,"NORMAN ELENES",0,0,0,0,0,0,0,0,0,0,0,0,0
"387",387,"OCTAVIO ACOSTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"388",388,"OLMO ROSARIO",51,8,14,2,0,3,10,4,6,0,1,1,0
"389",389,"OMAR MEZA",2,2,0,0,0,0,0,0,2,0,0,0,1
"390",390,"OMAR RENTERIA",40,6,10,2,0,0,5,5,8,0,0,1,0
"391",391,"ORLANDO LARA",0,0,0,0,0,0,0,0,0,0,0,0,0
"392",392,"OSCAR FELIX",0,0,0,0,0,0,0,0,0,0,0,0,0
"393",393,"OSCAR HURTADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"394",394,"OSCAR SANAY",27,2,6,0,0,0,3,0,5,0,0,1,0
"395",395,"OSCAR VERDUGO",0,0,0,0,0,0,0,0,0,0,0,0,0
"396",396,"OSCAR WILLIAMS",17,0,5,0,0,0,2,0,2,1,0,1,1
"397",397,"OSWALDO MARTINEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"398",398,"OZIEL FLORES",20,4,8,1,1,1,1,3,4,1,0,0,1
"399",399,"OZZIE MENDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"400",400,"PATRICK JOHNSON",0,0,0,0,0,0,0,0,0,0,0,0,0
"401",401,"PATRICK MCCOY",0,0,0,0,0,0,0,0,0,0,0,0,0
"402",402,"PAUL CLEMENS",0,0,0,0,0,0,0,0,0,0,0,0,0
"403",403,"PAUL LEON",45,4,12,1,0,0,2,7,9,0,0,0,0
"404",404,"PAUL PAEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"405",405,"PEDRO ARENAS",2,0,0,0,0,0,0,0,2,0,0,0,0
"406",406,"PEDRO RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"407",407,"PEDRO VILLARREAL",0,0,0,0,0,0,0,0,0,0,0,0,0
"408",408,"PHIL COKE",0,0,0,0,0,0,0,0,0,0,0,0,0
"409",409,"QUINCY LATIMORE",55,14,24,6,1,4,13,7,7,0,0,1,0
"410",410,"RAFAEL DIAZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"411",411,"RAFAEL MARTIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"412",412,"RAFAEL PINEDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"413",413,"RAINEL ROSARIO",27,7,12,2,0,0,4,3,4,2,0,0,0
"414",414,"RAMIRO PENA",48,10,14,3,0,1,7,2,4,1,1,0,0
"415",415,"RAMON OSUNA",18,6,9,1,0,3,5,3,6,1,0,0,0
"416",416,"RAMON R RAMIREZ",16,2,2,0,0,0,0,3,6,0,0,0,1
"417",417,"RAMON RIOS",42,5,13,1,0,1,6,4,3,1,0,1,0
"418",418,"RAUL BARRON",0,0,0,0,0,0,0,0,0,0,0,0,0
"419",419,"RAUL CARRILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"420",420,"RAUL VALDES",0,0,0,0,0,0,0,0,0,0,0,0,0
"421",421,"RAYMUNDO TORRES",22,4,11,2,1,1,6,3,4,0,1,0,0
"422",422,"REFUGIO CERVANTES",7,0,1,0,0,0,2,0,2,0,0,0,0
"423",423,"REFUGIO MARIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"424",424,"REINIER ROIBAL",0,0,0,0,0,0,0,0,0,0,0,0,0
"425",425,"RENE COSS",0,0,0,0,0,0,0,0,0,0,0,0,0
"426",426,"RICARDO JACQUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"427",427,"RICARDO NANITA",13,2,2,0,0,0,0,2,2,0,0,0,0
"428",428,"RICARDO RIVERO",0,0,0,0,0,0,0,0,0,0,0,0,0
"429",429,"RICARDO SERRANO",48,4,10,2,0,0,5,1,11,0,0,1,2
"430",430,"RICARDO VALENZUELA",16,1,6,1,0,1,4,1,2,0,0,0,0
"431",431,"RICHY PEDROZA",41,9,14,1,0,1,5,6,7,1,3,2,1
"432",432,"RICKY ALVAREZ",53,13,22,7,0,3,11,1,8,0,2,3,0
"433",433,"RICKY RODRIGUEZ",45,9,12,1,0,2,13,3,23,3,0,3,0
"434",434,"ROBERT GARCIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"435",435,"ROBERTO ESPINOSA",0,0,0,0,0,0,0,0,0,0,0,0,0
"436",436,"ROBERTO LOPEZ",11,2,3,0,0,1,1,0,2,2,0,0,2
"437",437,"ROBERTO VALENZUELA",4,1,0,0,0,0,0,0,0,0,0,0,0
"438",438,"ROBINSON LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"439",439,"RODOLFO AGUILAR",0,0,0,0,0,0,0,0,0,0,0,0,0
"440",440,"RODOLFO AGUIRRE",0,0,0,0,0,0,0,0,0,0,0,0,0
"441",441,"RODOLFO AMADOR",35,5,9,0,0,1,2,4,2,2,0,0,0
"442",442,"RODRIGO VALENZUELA",0,0,0,0,0,0,0,0,0,0,0,0,0
"443",443,"ROGELIO BERNAL",0,0,0,0,0,0,0,0,0,0,0,0,0
"444",444,"ROGELIO DEL CAMPO",19,3,4,0,0,1,2,2,2,0,0,0,0
"445",445,"ROGELIO MARTINEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"446",446,"ROGELIO NORIS",19,1,5,1,0,1,4,1,8,0,0,0,0
"447",447,"ROLANDO ACOSTA",49,8,15,1,0,3,7,4,10,1,0,0,0
"448",448,"ROLANDO MARTINEZ",3,0,1,1,0,0,2,0,0,2,0,0,0
"449",449,"ROLANDO VALDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"450",450,"ROMAN PENA",0,0,0,0,0,0,0,0,0,0,0,0,0
"451",451,"ROMARIO GIL",0,0,0,0,0,0,0,0,0,0,0,0,0
"452",452,"RONALD BELISARIO",0,0,0,0,0,0,0,0,0,0,0,0,0
"453",453,"RONNIER MUSTELIER",51,7,19,5,0,1,5,6,6,0,0,0,0
"454",454,"ROY MERRITT",0,0,0,0,0,0,0,0,0,0,0,0,0
"455",455,"RUBEN RIVERA",23,2,6,1,0,1,4,0,3,1,0,0,0
"456",456,"RUBEN SOSA",47,8,14,5,0,1,7,12,12,2,5,2,1
"457",457,"RUBEN VICENTE",0,0,0,0,0,0,0,0,0,0,0,0,0
"458",458,"RUDDY ACOSTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"459",459,"RYAN PEREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"460",460,"RYLAN SANDOVAL",4,1,2,0,0,0,2,0,2,0,0,0,0
"461",461,"SALVADOR VALDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"462",462,"SAMAR LEYVA",45,6,8,1,0,0,4,2,10,3,1,0,1
"463",463,"SAMMY AYALA",5,0,1,0,0,0,0,0,4,0,0,0,0
"464",464,"SAMUEL ZAZUETA",0,0,0,0,0,0,0,0,0,0,0,0,0
"465",465,"SANTIAGO GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"466",466,"SASAGI SANCHEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"467",467,"SAUL SOTO",40,7,12,3,0,1,3,5,5,0,0,0,0
"468",468,"SEBASTIAN VALLE",15,1,2,0,0,1,3,3,9,0,0,0,0
"469",469,"SERGIO ALVARADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"470",470,"SERGIO BURRUEL",40,5,10,1,0,1,8,4,12,0,1,1,1
"471",471,"SERGIO CONTRERAS",9,4,1,0,0,0,1,5,0,0,0,0,0
"472",472,"SERGIO GARCIA",38,2,11,2,0,0,4,0,4,0,0,0,1
"473",473,"SERGIO MITRE",0,0,0,0,0,0,0,0,0,0,0,0,0
"474",474,"SERGIO PEREZ",21,4,10,3,1,0,6,1,3,0,1,0,0
"475",475,"SERGIO SIERRA",0,0,0,0,0,0,0,0,0,0,0,0,0
"476",476,"STEVE CARRILLO",30,3,6,0,0,0,3,1,7,1,0,0,0
"477",477,"TERANCE MARIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"478",478,"THOMAS MELGAREJO",0,0,0,0,0,0,0,0,0,0,0,0,0
"479",479,"TIAGO DA SILVA",0,0,0,0,0,0,0,0,0,0,0,0,0
"480",480,"TOMAS SOLIS",0,0,0,0,0,0,0,0,0,0,0,0,0
"481",481,"TONY CAMPANA",57,12,21,4,0,0,2,2,6,0,6,0,3
"482",482,"TONY CORDOVA",0,0,0,0,0,0,0,0,0,0,0,0,0
"483",483,"TONY GUERRA",0,0,0,0,0,0,0,0,0,0,0,0,0
"484",484,"TYLER KANE",0,0,0,0,0,0,0,0,0,0,0,0,0
"485",485,"ULISES JOAQUIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"486",486,"ULISES LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"487",487,"URIAK MARQUEZ",43,6,11,1,0,1,7,2,9,1,2,2,2
"488",488,"VICTOR ESPINOSA",0,0,0,0,0,0,0,0,0,0,0,0,0
"489",489,"VICTOR MENDOZA",12,2,4,1,0,1,2,1,2,0,0,0,0
"490",490,"WALTER IBARRA",53,10,17,3,2,0,4,1,10,1,2,1,3
"491",491,"WES TORREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"492",492,"WILFREDO RODRIGUEZ",39,4,12,1,1,1,5,3,6,1,1,0,0
"493",493,"WILMER RIOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"494",494,"WIRFIN OBISPO",0,0,0,0,0,0,0,0,0,0,0,0,0
"495",495,"YADIR DRAKE",47,12,24,5,0,3,13,6,5,2,1,0,0
"496",496,"YANCARLO ANGULO",7,2,3,1,0,0,0,0,2,0,0,0,0
"497",497,"YOANNER NEGRIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"498",498,"YOHAN FLANDE",0,0,0,0,0,0,0,0,0,0,0,0,0
"499",499,"YORDANYS LINARES",53,10,15,4,0,0,0,5,11,0,4,0,0
"500",500,"YOSMANY GUERRA",48,8,13,2,2,0,3,10,6,1,0,0,0
"501",501,"YOSSHEL HURTADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"502",502,"YUNIESKY BETANCOURT",53,10,20,1,0,3,9,4,5,0,0,1,0
"503",503,"ZACH PHILLIPS",0,0,0,0,0,0,0,0,0,0,0,0,0
"504",504,"JESUS PIRELA",0,0,0,0,0,0,0,0,0,0,0,0,0
"505",505,"AGUSTIN SEPTIMO",2,0,0,0,0,0,0,0,0,0,0,0,0
"506",506,"CARLOS ZUNIGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"507",507,"JULIO PEREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"508",508,"ERNESTO FRIERI",0,0,0,0,0,0,0,0,0,0,0,0,0
"509",509,"STEVEN PALLARES",0,0,0,0,0,0,0,0,0,0,0,0,0
"510",510,"CARLOS FELIX",0,0,0,0,0,0,0,0,0,0,0,0,0
"511",511,"JUAN PANIAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0
